anio,ccaa,provincia,tipo_procedencia,categoria,especie,n_sueltas
2019,Baleares,Baleares,ADMINISTRACIÓN,Caza Menor de Aves,Codorniz,6820.0
2019,Baleares,Baleares,ADMINISTRACIÓN,Caza Menor de Aves,Faisán,2002.0
2019,Baleares,Baleares,ADMINISTRACIÓN,Caza Menor de Aves,Perdiz,79974.0
2019,C. Valenciana,Alicante,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,250.0
2019,C. Valenciana,Alicante,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,1000.0
2019,C. Valenciana,Alicante,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,385.0
2019,C. Valenciana,Castellón,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,32.0
2019,C. Valenciana,Castellón,OTRAS PROCEDENCIAS,Caza Mayor,Muflón,62.0
2019,C. Valenciana,Castellón,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,3900.0
2019,C. Valenciana,Castellón,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,300.0
2019,C. Valenciana,Castellón,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,11140.0
2019,C. Valenciana,Castellón,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,600.0
2019,C. Valenciana,Castellón,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,35911.0
2019,C. Valenciana,Valencia,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,63.0
2019,C. Valenciana,Valencia,OTRAS PROCEDENCIAS,Caza Mayor,Jabalí,50.0
2019,C. Valenciana,Valencia,OTRAS PROCEDENCIAS,Caza Mayor,Muflón,82.0
2019,C. Valenciana,Valencia,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,1150.0
2019,C. Valenciana,Valencia,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,1060.0
2019,C. Valenciana,Valencia,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,10078.0
2019,Castilla-La Mancha,Albacete,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,33.0
2019,Castilla-La Mancha,Albacete,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,4000.0
2019,Castilla-La Mancha,Albacete,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,919.0
2019,Castilla-La Mancha,Albacete,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,128970.0
2019,Castilla-La Mancha,Ciudad Real,ADMINISTRACIÓN,Caza Mayor,Ciervo,150.0
2019,Castilla-La Mancha,Ciudad Real,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,269.0
2019,Castilla-La Mancha,Ciudad Real,OTRAS PROCEDENCIAS,Caza Mayor,Corzo,58.0
2019,Castilla-La Mancha,Ciudad Real,OTRAS PROCEDENCIAS,Caza Mayor,Gamo,20.0
2019,Castilla-La Mancha,Ciudad Real,OTRAS PROCEDENCIAS,Caza Mayor,Jabalí,30.0
2019,Castilla-La Mancha,Ciudad Real,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,4950.0
2019,Castilla-La Mancha,Ciudad Real,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,2100.0
2019,Castilla-La Mancha,Ciudad Real,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,3225.0
2019,Castilla-La Mancha,Ciudad Real,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,6230.0
2019,Castilla-La Mancha,Ciudad Real,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,542100.0
2019,Castilla-La Mancha,Cuenca,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,15.0
2019,Castilla-La Mancha,Cuenca,OTRAS PROCEDENCIAS,Caza Mayor,Corzo,6.0
2019,Castilla-La Mancha,Cuenca,OTRAS PROCEDENCIAS,Caza Mayor,Jabalí,55.0
2019,Castilla-La Mancha,Cuenca,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,400.0
2019,Castilla-La Mancha,Cuenca,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,4450.0
2019,Castilla-La Mancha,Cuenca,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,10755.0
2019,Castilla-La Mancha,Cuenca,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,1970.0
2019,Castilla-La Mancha,Cuenca,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,77850.0
2019,Castilla-La Mancha,Guadalajara,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,200.0
2019,Castilla-La Mancha,Guadalajara,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,3150.0
2019,Castilla-La Mancha,Guadalajara,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,5670.0
2019,Castilla-La Mancha,Guadalajara,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,4550.0
2019,Castilla-La Mancha,Guadalajara,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,108532.0
2019,Castilla-La Mancha,Toledo,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,255.0
2019,Castilla-La Mancha,Toledo,OTRAS PROCEDENCIAS,Caza Mayor,Gamo,70.0
2019,Castilla-La Mancha,Toledo,OTRAS PROCEDENCIAS,Caza Mayor,Jabalí,120.0
2019,Castilla-La Mancha,Toledo,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,7800.0
2019,Castilla-La Mancha,Toledo,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,12500.0
2019,Castilla-La Mancha,Toledo,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,24870.0
2019,Castilla-La Mancha,Toledo,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,9650.0
2019,Castilla-La Mancha,Toledo,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,527476.0
2019,Cataluña,Barcelona,ADMINISTRACIÓN,Caza Menor de Mamíferos,Conejo,6939.0
2019,Cataluña,Barcelona,ADMINISTRACIÓN,Caza Menor de Mamíferos,Liebre,200.0
2019,Cataluña,Barcelona,ADMINISTRACIÓN,Caza Menor de Aves,Faisán,10724.0
2019,Cataluña,Barcelona,ADMINISTRACIÓN,Caza Menor de Aves,Perdiz,42991.0
2019,Cataluña,Gerona,ADMINISTRACIÓN,Caza Menor de Mamíferos,Conejo,2232.0
2019,Cataluña,Gerona,ADMINISTRACIÓN,Caza Menor de Mamíferos,Liebre,52.0
2019,Cataluña,Gerona,ADMINISTRACIÓN,Caza Menor de Aves,Codorniz,3000.0
