anio,ccaa,provincia,licencias_expedidas,importe_expedidas,lic_vigentes_anteriores
2011,Murcia,Murcia,15568.0,402028.24,2462.0
2011,Navarra,Navarra,24663.0,295956.0,
2011,País Vasco,Vizcaya,16469.0,151109.35,
2011,C. Valenciana,(Total CCAA),52846.0,,16087.0
2010,Andalucía,Almería,25174.0,449057.07,45885.0
2010,Andalucía,Cádiz,25239.0,368469.23,44867.0
2010,Andalucía,Córdoba,47623.0,643211.87,76648.0
2010,Andalucía,Granada,34510.0,522798.27,61879.0
2010,Andalucía,Huelva,26657.0,408457.18,43667.0
2010,Andalucía,Jaén,35378.0,498260.98,56358.0
2010,Andalucía,Málaga,28161.0,468037.23,52904.0
2010,Andalucía,Sevilla,67132.0,932025.0,119615.0
2010,Aragón,Teruel,7316.0,,0.0
2010,Baleares,Baleares,12264.0,,7040.0
2010,C. Valenciana,Alicante,15239.0,244738.83,2932.0
2010,C. Valenciana,Castellón,19001.0,214193.54,885.0
2010,C. Valenciana,Valencia,27278.0,573080.32,12270.0
2010,Canarias,Las Palmas,3738.0,152855.0,
2010,Canarias,Tenerife,11332.0,359423.5,
2010,Cantabria,Cantabria,7075.0,122033.45,3272.0
2010,Castilla y León,Ávila,2943.0,80754.6,
2010,Castilla y León,Burgos,3760.0,96823.65,
2010,Castilla y León,León,5882.0,146190.05,
2010,Castilla y León,Palencia,3030.0,76223.95,
2010,Castilla y León,Salamanca,4173.0,108358.05,
2010,Castilla y León,Segovia,1409.0,35671.1,
2010,Castilla y León,Soria,2064.0,61167.25,
2010,Castilla y León,Valladolid,97614.0,2551248.35,
2010,Castilla y León,Zamora,3323.0,79387.7,
2010,Castilla-La Mancha,Albacete,20176.0,384231.71,8264.0
2010,Castilla-La Mancha,Ciudad Real,35082.0,641488.23,8138.0
2010,Castilla-La Mancha,Cuenca,24788.0,446903.75,4874.0
2010,Castilla-La Mancha,Guadalajara,22500.0,432602.94,3197.0
2010,Castilla-La Mancha,Toledo,59448.0,1583697.45,13663.0
2010,Cataluña,Barcelona,29237.0,566218.5,37148.0
2010,Cataluña,Gerona,14077.0,302310.7,11934.0
2010,Cataluña,Lérida,13136.0,283713.8,11909.0
2010,Cataluña,Tarragona,18026.0,384139.8,16721.0
2010,La Rioja,La Rioja,10040.0,246568.46,3127.0
2010,Madrid,Madrid,14088.0,,16408.0
2010,Murcia,Murcia,17758.0,418803.0,6239.0
2010,Navarra,Navarra,25631.0,307572.0,
2010,País Vasco,Álava,7816.0,70003.2,
2010,País Vasco,Vizcaya,17138.0,155712.48,
2010,Galicia,(Total CCAA),52907.0,,
2010,Extremadura,(Total CCAA),115764.0,,50890.0
2010,Aragón,(Total CCAA),55423.0,,
2010,Asturias,(Total CCAA),8502.0,,13336.0
2009,Andalucía,Almería,24264.0,454255.73,44327.0
2009,Andalucía,Cádiz,24966.0,383699.5,43200.0
2009,Andalucía,Córdoba,46298.0,655989.46,72330.0
2009,Andalucía,Granada,33704.0,540663.19,60469.0
2009,Andalucía,Huelva,26630.0,423945.81,42783.0
2009,Andalucía,Jaén,30045.0,524571.42,54051.0
2009,Andalucía,Málaga,30045.0,491289.02,50205.0
2009,Andalucía,Sevilla,50602.0,711497.12,82401.0
2009,Baleares,Baleares,12107.0,,28172.0
2009,Canarias,Las Palmas,9688.0,43957.96,
2009,Canarias,Tenerife,11888.0,421698.0,
2009,Cantabria,Cantabria,7259.0,115838.42,2416.0
2009,Castilla y León,Ávila,3181.0,85368.4,
2009,Castilla y León,Burgos,4019.0,104919.2,
2009,Castilla y León,León,5849.0,146169.25,
2009,Castilla y León,Palencia,3350.0,85539.85,
2009,Castilla y León,Salamanca,4653.0,115219.85,
2009,Castilla y León,Segovia,1530.0,40698.0,
2009,Castilla y León,Soria,2005.0,58047.0,
2009,Castilla y León,Valladolid,98695.0,2573646.8,
2009,Castilla y León,Zamora,3352.0,78672.6,
2009,Castilla-La Mancha,Albacete,1005.0,24672.45,2700.0
2009,Castilla-La Mancha,Ciudad Real,4802.0,124008.89,2544.0
2009,Castilla-La Mancha,Cuenca,11016.0,246154.8,2522.0
2009,Castilla-La Mancha,Guadalajara,7772.0,248325.8,1695.0
2009,Castilla-La Mancha,Toledo,120439.0,3093959.99,26293.0
2009,Cataluña,Barcelona,37148.0,730399.0,30945.0
2009,Cataluña,Gerona,11934.0,260024.1,10468.0
2009,Cataluña,Lérida,11909.0,251733.7,10269.0
2009,Cataluña,Tarragona,16721.0,358506.85,16678.0
2009,Galicia,La Coruña,17762.0,470838.66,
2009,Galicia,Lugo,11042.0,289610.25,
2009,Galicia,Orense,11369.0,295809.96,
2009,Galicia,Pontevedra,12734.0,338382.71,
2009,La Rioja,La Rioja,9921.0,233998.84,3358.0
2009,Madrid,Madrid,15170.0,,15221.0
2009,Murcia,Murcia,17655.0,399888.81,15884.0
2009,Navarra,Navarra,25935.0,311220.0,
2009,País Vasco,Guipúzcoa,20347.0,194128.68,
2009,C. Valenciana,(Total CCAA),62753.0,,15665.0
2009,Extremadura,(Total CCAA),115764.0,,50890.0
2009,Aragón,(Total CCAA),46412.0,,6975.0
2009,Asturias,(Total CCAA),8502.0,,13336.0
2008,Andalucía,Almería,24156.0,456888.65,51012.0
2008,Andalucía,Cádiz,25260.0,390372.78,51447.0
2008,Andalucía,Córdoba,44763.0,637897.02,79967.0
